,u,v,x,y,z
89,2866,764,734250.8125,4050964.25,2903.951904296875
90,4169,785,733903.4375,4050578.0,2811.80615234375
91,3493,814,733865.8125,4050822.0,2784.05517578125
92,2263,823,734207.875,4051207.0,2863.36669921875
93,4180,826,733875.9375,4050588.5,2791.412109375
94,2661,829,734204.3125,4051052.25,2863.558837890625
95,1698,835,734428.625,4051457.5,2913.092529296875
96,109,867,734271.375,4052032.5,2847.1572265625
97,3370,868,733841.0625,4050868.5,2758.800048828125
99,1879,870,734338.5,4051368.0,2875.697021484375
100,3409,872,733843.5625,4050857.25,2759.453369140625
101,1898,876,734330.5625,4051360.0,2870.6796875
102,3378,876,733837.6875,4050867.0,2755.700439453125
103,1895,888,734318.75,4051359.25,2862.548583984375
104,81,896,734216.375,4052013.0,2822.8818359375
105,4400,897,733825.0625,4050541.5,2756.98095703125
106,4362,907,733817.9375,4050558.0,2751.370361328125
107,4340,909,733820.625,4050564.75,2751.933349609375
108,121,913,734193.0625,4051986.0,2811.933837890625
109,193,918,734205.0,4051968.0,2813.94873046875
110,2900,921,733779.1875,4051019.5,2703.90380859375
111,232,923,734214.5625,4051960.25,2814.828857421875
112,331,929,734242.4375,4051939.25,2819.439208984375
113,329,936,734236.0,4051936.75,2815.379150390625
114,576,937,734289.6875,4051870.5,2828.3056640625
115,3582,939,733776.5625,4050824.5,2722.98681640625
116,195,945,734184.5625,4051958.0,2800.77685546875
117,307,945,734223.375,4051938.25,2809.02001953125
118,339,947,734233.375,4051932.5,2810.933837890625
119,351,950,734234.75,4051928.5,2810.27197265625
120,260,951,734202.875,4051944.25,2801.773193359375
121,2436,953,734082.125,4051143.75,2782.974853515625
122,209,954,734182.5,4051951.0,2795.25732421875
123,3594,953,733769.3125,4050823.25,2717.5341796875
124,346,960,734226.25,4051925.5,2804.330322265625
125,312,961,734216.4375,4051932.75,2801.822265625
126,3214,961,733772.3125,4050933.5,2712.495849609375
128,504,964,734254.3125,4051882.75,2809.85400390625
130,1341,970,734416.0625,4051599.0,2851.09912109375
131,453,972,734242.3125,4051895.75,2803.83251953125
132,3218,973,733767.375,4050933.75,2708.146728515625
133,404,977,734228.4375,4051906.75,2798.17919921875
134,873,977,734280.5625,4051755.25,2812.1767578125
135,3884,977,733780.75,4050731.75,2715.767578125
136,860,979,734275.375,4051758.5,2810.515625
137,2433,981,734065.375,4051145.0,2768.979736328125
138,4422,987,733774.625,4050564.0,2718.072021484375
139,4542,990,733768.125,4050529.25,2716.1640625
140,4196,991,733778.9375,4050634.25,2714.0927734375
141,5209,991,733695.75,4050366.0,2704.218994140625
142,593,993,734247.0,4051846.5,2798.02783203125
143,866,994,734256.25,4051749.25,2799.966552734375
144,915,997,734268.8125,4051735.25,2802.407470703125
145,4156,999,733780.9375,4050645.25,2712.165283203125
146,933,1001,734277.4375,4051730.5,2803.4013671875
147,4542,1002,733759.9375,4050535.0,2710.57373046875
148,906,1003,734261.0625,4051735.5,2798.432861328125
149,475,1005,734223.25,4051878.5,2787.23876953125
150,926,1004,734267.3125,4051729.75,2799.245361328125
151,711,1006,734245.6875,4051803.0,2792.814453125
152,447,1008,734218.125,4051886.5,2784.808349609375
153,3720,1009,733754.9375,4050791.0,2698.98486328125
154,460,1013,734216.0625,4051880.5,2782.705322265625
155,3629,1014,733744.4375,4050820.75,2694.14892578125
156,934,1016,734263.0,4051726.25,2794.989990234375
157,4452,1017,733758.9375,4050566.0,2705.970458984375
158,616,1019,734232.0,4051832.0,2784.439697265625
159,4140,1021,733772.4375,4050655.75,2704.051025390625
160,3249,1022,733744.1875,4050931.25,2689.87060546875
161,834,1026,734225.5,4051749.25,2781.358642578125
162,3738,1025,733747.5625,4050789.0,2693.1611328125
163,702,1027,734231.875,4051800.25,2782.164794921875
164,3745,1033,733742.5625,4050789.5,2689.169677734375
