x,y,z,u,v,dist,gsd,visible,change
733504.50,4051471.75,2477.93,834,1773,830.2,0.218,1,gain
733505.50,4051471.75,2478.42,836,1771,831.1,0.218,1,gain
733628.50,4051471.75,2523.78,1046,1587,948.8,0.249,1,gain
733437.50,4051470.75,2454.71,694,1893,767.5,0.202,1,gain
733501.50,4051470.75,2476.97,833,1778,827.0,0.217,1,gain
733625.50,4051470.75,2523.40,1046,1588,945.7,0.248,0,gain
733627.50,4051470.75,2523.61,1049,1587,947.6,0.249,0,gain
733436.50,4051469.75,2455.21,697,1890,766.2,0.201,1,gain
733509.50,4051469.75,2480.80,854,1759,834.2,0.219,1,gain
733623.50,4051469.75,2523.26,1048,1588,943.4,0.248,0,gain
733624.50,4051469.75,2523.39,1049,1587,944.4,0.248,0,gain
733625.50,4051469.75,2523.55,1051,1587,945.3,0.248,0,gain
733626.50,4051469.75,2523.72,1052,1587,946.3,0.249,0,gain
733509.50,4051468.75,2480.97,859,1758,833.8,0.219,1,gain
733621.50,4051468.75,2523.19,1049,1587,941.2,0.247,1,gain
733622.50,4051468.75,2523.31,1051,1587,942.2,0.248,1,gain
733623.50,4051468.75,2523.40,1052,1587,943.1,0.248,1,gain
733624.50,4051468.75,2523.55,1054,1587,944.1,0.248,0,gain
733502.50,4051467.75,2477.57,851,1775,826.8,0.217,1,gain
733623.50,4051467.75,2523.58,1057,1586,942.8,0.248,1,gain
733302.50,4051466.75,2390.18,323,2349,647.1,0.170,1,gain
733303.50,4051466.75,2390.31,327,2348,647.9,0.170,1,gain
733430.50,4051466.75,2455.51,700,1889,759.5,0.200,1,gain
733502.50,4051466.75,2477.44,856,1775,826.5,0.217,1,gain
733503.50,4051466.75,2477.44,858,1775,827.4,0.217,1,gain
733504.50,4051466.75,2478.01,860,1773,828.4,0.218,1,gain
733505.50,4051466.75,2478.45,862,1770,829.3,0.218,1,gain
733617.50,4051466.75,2522.43,1052,1589,936.8,0.246,1,gain
733508.50,4051465.75,2480.72,873,1759,831.8,0.219,1,gain
733439.50,4051464.75,2459.18,732,1868,767.0,0.202,1,gain
733440.50,4051464.75,2459.37,735,1867,767.9,0.202,1,gain
733509.50,4051464.75,2481.29,880,1757,832.4,0.219,1,gain
733439.50,4051463.75,2460.01,738,1863,766.6,0.201,1,gain
733609.50,4051463.75,2519.89,1054,1598,928.1,0.244,1,gain
733396.50,4051462.75,2439.29,639,1986,726.9,0.191,1,gain
733510.50,4051462.75,2481.97,892,1753,832.7,0.219,1,gain
733511.50,4051462.75,2482.47,894,1751,833.6,0.219,1,gain
733513.50,4051462.75,2483.23,898,1748,835.5,0.220,1,gain
733514.50,4051462.75,2483.88,900,1744,836.5,0.220,1,gain
733259.50,4051461.75,2376.23,189,2499,608.7,0.160,1,gain
733510.50,4051461.75,2482.49,897,1751,832.3,0.219,1,gain
733512.50,4051461.75,2482.95,901,1749,834.2,0.219,1,gain
733595.50,4051460.75,2515.24,1046,1615,913.6,0.240,0,gain
733596.50,4051460.75,2515.37,1048,1614,914.5,0.240,1,gain
733589.50,4051459.75,2514.42,1042,1617,907.5,0.238,1,gain
733583.50,4051458.75,2512.56,1037,1623,901.4,0.237,1,gain
733587.50,4051458.75,2513.90,1043,1618,905.3,0.238,1,gain
733588.50,4051458.75,2514.24,1045,1617,906.2,0.238,1,gain
733589.50,4051458.75,2514.42,1046,1617,907.2,0.238,1,gain
733591.50,4051458.75,2514.61,1049,1616,909.1,0.239,1,gain
733591.50,4051457.75,2514.59,1054,1616,908.8,0.239,1,gain
733592.50,4051457.75,2514.76,1055,1616,909.7,0.239,1,gain
733436.50,4051456.75,2458.97,771,1869,761.2,0.200,1,gain
733584.50,4051456.75,2512.19,1048,1625,901.7,0.237,1,gain
733382.50,4051455.75,2428.63,645,2052,711.6,0.187,1,gain
733401.50,4051455.75,2440.82,694,1975,728.7,0.191,1,gain
733416.50,4051455.75,2449.46,730,1923,742.3,0.195,1,gain
733444.50,4051455.75,2461.45,794,1855,768.2,0.202,1,gain
733397.50,4051454.75,2437.56,690,1995,724.7,0.190,1,gain
733400.50,4051454.75,2440.29,697,1978,727.4,0.191,1,gain
733401.50,4051454.75,2440.55,700,1977,728.3,0.191,1,gain
733416.50,4051454.75,2448.72,736,1927,742.0,0.195,1,gain
733429.50,4051454.75,2455.24,766,1890,753.9,0.198,1,gain
733435.50,4051454.75,2457.12,780,1879,759.5,0.200,1,gain
733371.50,4051453.75,2421.77,629,2097,701.1,0.184,1,gain
733402.50,4051453.75,2441.13,708,1973,728.8,0.192,1,gain
733417.50,4051453.75,2448.87,744,1926,742.5,0.195,1,gain
733418.50,4051453.75,2449.51,747,1923,743.4,0.195,1,gain
733419.50,4051453.75,2450.12,749,1919,744.3,0.196,1,gain
733420.50,4051453.75,2450.27,751,1918,745.3,0.196,1,gain
733421.50,4051453.75,2450.66,754,1916,746.2,0.196,1,gain
733425.50,4051453.75,2452.24,763,1907,749.9,0.197,1,gain
733426.50,4051453.75,2452.63,765,1904,750.8,0.197,1,gain
733428.50,4051453.75,2453.49,770,1900,752.6,0.198,1,gain
733429.50,4051453.75,2454.79,772,1892,753.6,0.198,1,gain
733434.50,4051453.75,2456.45,784,1883,758.2,0.199,1,gain
733455.50,4051453.75,2464.36,830,1840,777.7,0.204,1,gain
733386.50,4051452.75,2430.56,674,2039,714.0,0.188,1,gain
733398.50,4051452.75,2438.55,704,1989,724.8,0.190,1,gain
