"dist12","p9_k3","p9_k5","p9_k10","p9_logdist","slope","elevation","TPI","twi","northness","eastness","snow_mean"
355,1.71838511179939e-05,0.000375335640478347,0.000492378716199858,0.000376737257561344,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
360,1.81271492364558e-05,0.00028201998503251,0.000393814459394848,0.000386718831953938,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
365,1.93132131349898e-05,0.000206168438236401,0.000301330548444908,0.000397067465464991,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
370,2.07832239537656e-05,0.000146675422470174,0.000222018045368116,0.000407788281056335,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
375,2.25901801348825e-05,0.000101591447833634,0.000158749981830672,0.000418886554089757,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
380,2.48020495297168e-05,6.85416684394053e-05,0.000111139860389149,0.000430367696327616,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
385,2.75059673600222e-05,4.50758903596427e-05,7.69249750308058e-05,0.000442237241093323,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
390,3.08138377306685e-05,2.89188874004075e-05,5.31815546608595e-05,0.000454500829401841,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
395,3.48698330565384e-05,1.81168490252622e-05,3.71128777319307e-05,0.000467164196964887,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
400,3.9860477483174e-05,1.10949110645948e-05,2.64192069593189e-05,0.000480233162011103,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
