blind_id,sample_id,stratum,cls2012,cls2021,x,y,z,row,col,u,v,annotated_figure,native_crop
B040,gain_dwarfpine_to_sasa_09,gain_dwarfpine_to_sasa,7,1,733354.5,4051168.75,2431.8798828125,900,610,2404.293394976649,2037.650990589058,crops/gain_dwarfpine_to_sasa_09.png,crops_native/gain_dwarfpine_to_sasa_09_native.png
B041,loss_to_dwarfpine_21,loss_to_dwarfpine,1,7,733251.5,4051247.75,2405.429931640625,821,507,1830.3248190467511,2274.5990836750943,crops/loss_to_dwarfpine_21.png,crops_native/loss_to_dwarfpine_21_native.png
B042,control_stable_dwarfpine_01,control_stable_dwarfpine,7,7,733542.5,4051297.75,2517.800048828125,771,798,1767.5174684852163,1589.267642938672,crops/control_stable_dwarfpine_01.png,crops_native/control_stable_dwarfpine_01_native.png
B043,control_stable_sasa_19,control_stable_sasa,1,1,733081.5,4051080.75,2419.610107421875,988,337,3398.6899130747724,2286.7270142766506,crops/control_stable_sasa_19.png,crops_native/control_stable_sasa_19_native.png
B044,loss_to_otherveg_09,loss_to_otherveg,1,2,733414.5,4051281.75,2464.760009765625,787,670,1753.2906741160523,1839.578418944043,crops/loss_to_otherveg_09.png,crops_native/loss_to_otherveg_09_native.png
B045,loss_to_dwarfpine_16,loss_to_dwarfpine,1,7,733322.5,4051328.75,2426.280029296875,740,578,1350.6940784421256,2092.093890002106,crops/loss_to_dwarfpine_16.png,crops_native/loss_to_dwarfpine_16_native.png
B046,loss_to_dwarfpine_03,loss_to_dwarfpine,1,7,733276.5,4051191.75,2403.52001953125,877,532,2253.616757971754,2264.273834252796,crops/loss_to_dwarfpine_03.png,crops_native/loss_to_dwarfpine_03_native.png
B047,gain_dwarfpine_to_sasa_07,gain_dwarfpine_to_sasa,7,1,733385.5,4051206.75,2449.8798828125,862,641,2175.6147793254713,1924.9004771001084,crops/gain_dwarfpine_to_sasa_07.png,crops_native/gain_dwarfpine_to_sasa_07_native.png
B048,gain_dwarfpine_to_sasa_05,gain_dwarfpine_to_sasa,7,1,733545.5,4051250.75,2526.909912109375,818,801,1995.2469725601634,1547.183300556917,crops/gain_dwarfpine_to_sasa_05.png,crops_native/gain_dwarfpine_to_sasa_05_native.png
B049,control_stable_dwarfpine_12,control_stable_dwarfpine,7,7,733525.5,4051347.75,2513.280029296875,721,781,1507.8514579400137,1605.3825187363332,crops/control_stable_dwarfpine_12.png,crops_native/control_stable_dwarfpine_12_native.png
B050,loss_to_alder_02,loss_to_alder,1,6,733502.5,4051088.75,2514.4599609375,980,758,2783.3830993092315,1594.643816536507,crops/loss_to_alder_02.png,crops_native/loss_to_alder_02_native.png
B051,control_stable_dwarfpine_16,control_stable_dwarfpine,7,7,733549.5,4051356.75,2518.669921875,712,805,1488.9637710046516,1587.4073029692324,crops/control_stable_dwarfpine_16.png,crops_native/control_stable_dwarfpine_16_native.png
B052,loss_to_otherveg_29,loss_to_otherveg,1,2,732816.5,4051112.75,2443.969970703125,956,72,5153.965500762781,2524.430446370764,crops/loss_to_otherveg_29.png,crops_native/loss_to_otherveg_29_native.png
B053,loss_to_dwarfpine_11,loss_to_dwarfpine,1,7,733489.5,4051015.75,2524.409912109375,1053,745,3147.847852321125,1543.2397314289983,crops/loss_to_dwarfpine_11.png,crops_native/loss_to_dwarfpine_11_native.png
